"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1011","192","Fermata 192 - LIVORNO","C.REGINA MARGH. / V.LIVORNO","45.08236","7.66694","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=192","","","Europe/Rome","1"
"1012","1920","Fermata 1920 - TORINO","VIALE RADICH / CORSO TORINO GRUGLIASCO","45.06734","7.60763","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1920","","","Europe/Rome","1"
"1014","1922","Fermata 1922 - TORINO","VIALE RADICH DOPO CORSO TORINO","45.0674","7.60797","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1922","","","Europe/Rome","1"
"1015","1924","Fermata 1924 - POSTUMIA","C.BRUNELLESCHI DOPO V.POSTUMIA","45.06812","7.6239","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1924","","","Europe/Rome","1"
"1016","1925","Fermata 1925 - RADICH","STR. DELLA PRONDA N.77","45.06572","7.61276","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1925","","","Europe/Rome","2"
"1017","1926","Fermata 1926 - RADICH","STR DELLA PRONDA FRONTE N. 77 GRUGLIASCO","45.06598","7.61288","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1926","","","Europe/Rome","1"
"1018","1927","Fermata 1927 - BARD","V.MONGINEVRO DOPO V. BARD","45.06542","7.61703","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1927","","","Europe/Rome","2"
"1019","1928","Fermata 1928 - BARD","V.MONGINEVRO / V. BARD","45.06583","7.61681","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1928","","","Europe/Rome","2"
"1020","1929","Fermata 1929 - CARLO FELICE","CORSO VITTORIO EMANUELE II/PIAZZA CARLO FELICE","45.06261","7.67981","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1929","","","Europe/Rome","1"
"1021","193","Fermata 193 - INDUSTRIA","C.REGINA MARGH. / V.BONZANIGO","45.08117","7.6698","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=193","","","Europe/Rome","1"
"1022","1930","Fermata 1930 - MEDICI","CORSO SVIZZERA / VIA MEDICI","45.07808","7.64985","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1930","","","Europe/Rome","2"
"1023","1932","Fermata 1932 - TRAPANI SUD","V.LANCIA DOPO C.TRAPANI","45.06167","7.63638","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1932","","","Europe/Rome","1"
"1024","1933","Fermata 1933 - CARAGLIO","V.LANCIA PRIMA DI V.CARAGLIO","45.06105","7.64262","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1933","","","Europe/Rome","2"
"1025","1934","Fermata 1934 - CARAGLIO","V.LANCIA / V.CARAGLIO","45.0607","7.64412","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1934","","","Europe/Rome","2"
"1026","1935","Fermata 1935 - CENTRO COMMERCIALE","V.CREA / V.GRANDI  GRUGLIASCO","45.05486","7.61476","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1935","","","Europe/Rome","1"
"1027","1936","Fermata 1936 - CENTRO COMMERCIALE","V.CREA FRONTE LE GRU  GRUGLIASCO","45.05508","7.61561","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1936","","","Europe/Rome","1"
"1028","1937","Fermata 1937 - CENTRO COMMERCIALE NORD","V.CREA - LE GRU -   GRUGLIASCO","45.0572","7.61462","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1937","","","Europe/Rome","1"
"1029","1938","Fermata 1938 - CENTRO COMMERCIALE NORD","V.CREA PRIMA DI V.TIRRENO  GRUGLIASCO","45.05756","7.61545","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1938","","","Europe/Rome","1"
"1030","1939","Fermata 1939 - BRACCINI","V.SPALATO / V.BRACCINI","45.05928","7.65257","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1939","","","Europe/Rome","1"
"1031","194","Fermata 194 - INDUSTRIA","C.REGINA MARGH. / V.MACERATA","45.08149","7.66957","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=194","","","Europe/Rome","1"
"1032","1940","Fermata 1940 - SPALATO","V.BOBBIO / V.SPALATO","45.05874","7.65262","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1940","","","Europe/Rome","1"
